ZIP CODE,MEDIAN_AGE,MEDIAN_HOME_PRICE,MEDIAN_INCOME,STUDENT_RATIO,SCHOOL_SPENDATURE
1001,45.8,220600,60775,12.8,13501
1002,23.6,331800,55082,10.6,20548
1003,19.9,10600,0,10.6,20548
1005,45.4,227100,63361,14.4,14254
1007,43.8,279700,74221,14.2,12393
1008,49.9,228700,71979,11.7,16949
1009,66.2,247700,40929,12.4,14842
1010,48.1,271000,82365,10,14689
1011,39.9,177400,65324,11.7,16949
1012,43.2,239600,56146,11,13112
1013,35,180500,41342,12.6,13722
1020,44.2,183600,52236,12.6,13722
1022,37.6,127600,60353,12.6,13722
1026,49.5,214100,51213,12,15475
1027,44.9,259300,58551,13.3,25691
1028,45.9,272100,84173,13.7,13450
1029,47.3,255500,52566,8.8,32035
1030,45.1,247500,68326,12.8,13501
1031,38.6,190300,43583,14.4,14254
1032,49.8,252500,65000,11,13112
1033,45.8,256400,79647,13.5,12966
1034,46.9,280500,77448,12.5,13863
1035,47.4,343200,74737,12.9,14856
1036,49.4,281200,79639,14.9,14411
1037,46.1,338100,91471,14.4,14254
1038,51.4,312500,65536,10.2,14202
1039,54.6,259700,68500,10.2,25919
1040,35.2,195600,35550,11.2,18749
1050,43.7,209700,52813,11.7,16949
1053,53.2,274700,59850,13.4,14904
1054,50.9,347900,78125,8.2,21371
1056,44.4,216300,61410,12.5,12952
1057,46.3,243500,66343,14.4,13345
1060,34.3,306300,53427,13.4,14904
1062,45.2,300900,64727,13.4,14904
1063,20.5,275000,0,13.4,14904
1066,21,270100,0,10.2,14202
1068,46.7,299800,80577,14.4,14254
1069,47.1,182800,54412,12.4,14842
1070,50.2,228400,57031,12.9,20447
1071,47.9,239000,74688,11.7,16949
1072,45.6,263900,68203,9.9,16742
1073,46.4,313300,68639,14.2,10986
1074,33.7,257000,58140,14.4,14254
1075,40.3,246900,62408,13.2,15295
1077,46.6,259900,81967,12.5,13863
1079,46.3,190000,43654,12.4,14842
1080,32.7,180900,42794,12.4,14842
1081,43.7,224200,52768,13.5,13427
1082,41.8,195000,52709,14.1,13819
1083,36.9,209900,37126,14.7,12674
1084,53.6,234200,49886,11,13112
1085,39.1,249700,61211,13,18965
1086,19,211000,0,13,18965
1088,53.3,239300,41875,10.2,14202
1089,39.2,229600,52806,13,21313
1092,47,208500,48679,14.7,12674
1093,52.6,314000,82222,14.2,17091
1094,54.6,210600,19028,14.4,14254
1095,47.2,285300,86908,14.9,14411
1096,44.3,263300,70438,10.2,25919
1097,17.1,200800,40556,11.7,16949
1098,50.4,235800,71500,11.7,16949
1103,33.6,124200,13666,12.3,18780
1104,36,144600,29184,12.3,18780
1105,32.3,115100,17657,12.3,18780
1106,46.2,351000,106296,12.4,18720
1107,28.8,157100,22287,12.3,18780
1108,31.7,168100,35238,12.3,18780
1109,27.9,130100,32644,12.3,18780
1118,36.8,174800,65231,12.3,18780
1119,34.7,162500,47417,12.3,18780
1128,48.3,186400,74963,12.3,18780
1129,42.9,184100,62280,12.3,18780
1151,32.7,152700,34280,12.3,18780
1199,19,204400,0,12.3,18780
1201,44,159800,44120,12.2,14662
1220,45.8,137900,41950,14.7,28495
1222,49.2,224600,78080,10,21399
1223,51.8,227500,65033,12,15475
1224,49.8,176900,37112,9.9,20351
1225,48.2,195900,58007,14.7,28485
1226,48.9,193100,48320,12,15475
1229,67.4,321400,34250,12,18131
1230,49.9,381800,53180,12,18131
1235,49.6,206800,64507,12,15475
1236,42.2,305600,62917,12,18131
1237,46.9,204600,76346,9.9,20351
1238,46.5,258300,61492,10.1,17630
1240,57.2,314600,51396,9.8,16894
1242,33.8,238400,55333,9.8,16894
1243,57.3,233000,73750,11.7,16949
1244,60.8,391700,27639,10,21399
1245,55.8,453300,53833,10,21399
1247,43.6,132500,39636,10.5,17546
1253,59.8,281300,66250,8.8,32035
1254,58.3,363100,83750,9.2,19083
1255,50.2,247600,56250,8.8,32035
1256,47.3,178800,57222,8.8,25195
1257,53.1,294200,46917,10,21399
1258,61.7,379200,64250,10,21399
1259,60.6,358200,61500,10,21399
1260,32.9,421900,47250,12,18131
1262,56.9,389100,47250,12,18131
1264,58.4,434300,90625,10.1,17630
1266,55.5,414600,78333,12,18131
1267,31.9,295100,74167,12.5,13856
1270,50.1,218600,69444,12,15475
1301,44.1,194900,48612,12.7,16017
1330,49.3,268000,77411,12.9,20447
1331,44.7,173100,51002,13.2,16335
1337,50,231000,62037,11.2,17066
1338,59.6,224200,71691,12.9,20447
1339,50.5,191400,51908,12.4,19000
1340,53.7,196500,46210,12.9,20447
1341,50.9,283800,79286,14.7,14888
1342,43.9,288900,101863,10.3,13385
1343,59.5,274700,81667,7.9,17182
1344,41.9,197000,59722,9.1,30306
1346,49.1,221100,58906,12.9,20447
1347,46,113800,38000,11,18215
1349,37.7,185500,54727,11,18215
1350,54.7,107400,32083,7.9,17182
1351,46.9,237800,71587,11,18215
1354,47.6,222100,75776,11,18215
1355,50.8,243900,75000,11,16920
1360,46,227800,60721,11.2,17066
1364,45.4,160900,41994,16.7,13400
1366,51,265300,72917,9.4,16154
1367,44.4,193300,49792,8.1,33448
1368,51.1,216900,60568,13.2,16335
1370,51.3,252500,53300,12.9,20447
1373,49.5,291200,67465,10.3,13385
1375,31.3,313500,50417,11.3,14315
1376,44.4,191900,41250,11,18215
1378,55.7,204200,55278,11.2,17077
1379,51.2,207600,38750,11,16920
1420,35.4,211500,46628,14,15353
1430,41.1,249000,85662,15.2,21300
1431,45.9,273100,83917,13,13124
1432,39.1,336000,66630,12.9,15716
1434,43.4,348000,97222,13.5,15601
1436,43.3,183200,70313,13.7,13382
1438,60.1,252500,61803,13.7,13382
1440,40.6,196000,46464,13.9,12276
1450,45.6,479600,116686,15,13995
1451,47.2,621200,135357,13.5,15601
1452,45.7,276000,83438,14.4,14254
1453,40.2,257300,59248,13.6,13659
1460,44.4,464200,111652,17.1,15605
1462,44.1,299600,71055,15.5,13423
1463,42.9,358800,77767,13,13124
1464,42.3,346200,66453,12.9,15716
1467,51.4,419500,184107,13.5,15601
1468,47.2,225200,70455,13.7,13382
1469,39.2,296200,81024,13,13124
1473,44.7,291400,87273,15.2,21300
1474,44.5,279800,95587,13,13124
1475,41.3,216800,59332,13,15107
1501,46.8,282400,73105,13.7,13822
1503,47.6,422800,88681,11.4,17475
1504,41.6,282800,72699,13.3,12259
1505,42.7,365600,102422,15.4,12934
1506,44.9,240900,63889,13.3,13398
1507,43.1,306800,91287,14.8,11417
1510,38.9,273000,64867,14.7,14202
1515,42.2,247600,71020,15.7,14436
1516,41.7,322300,84390,16,18598
1518,42.6,308600,48676,13.9,19266
1519,43.5,404900,101205,14.7,11146
1520,41.8,331300,98979,16.2,11448
1521,43.7,228100,64868,12.8,16131
1522,41.2,300400,94531,16.2,11448
1523,38.4,337500,89808,14,13998
1524,35.4,352100,65225,14.5,12657
1525,36.5,252400,47238,15.1,12234
1527,43.2,287500,71676,14,14051
1529,41.8,299700,88281,13.3,12259
1531,46.8,288400,81136,14.4,14254
1532,43.7,451000,107111,13,13415
1534,44.4,344600,82950,15.1,12234
1535,44.4,219900,58438,13,15119
1536,39.5,350300,72292,14.7,11146
1537,33.1,220600,75183,13,13367
1540,39.7,256500,67126,14,13367
1541,48.4,354200,114688,16.2,11448
1542,48.2,269200,76979,14.5,12657
1543,40.2,293200,91033,16.2,11448
1545,41.7,438900,91617,17.6,13574
1550,40.1,198300,43376,13.8,17176
1560,38.1,365500,78250,14.7,11146
1561,59.6,273500,19597,14,13998
1562,45.1,242300,60943,15.7,14436
1564,44.7,338700,90455,16.2,11448
1566,42,281300,93776,13.9,19266
1568,42,460400,110781,14.8,14113
1569,40.3,320500,88125,15.1,15730
1570,41,246000,84650,13.9,14206
1571,37.9,260200,68053,14.8,11417
1581,38,492600,100552,13.3,16067
1583,39.4,312500,734474,12.2,15343
1585,46.7,246000,60521,14.7,12674
1588,38.1,296800,66591,15.1,12234
1590,44.8,368800,111788,15.5,17789
1602,40.5,257000,62888,17.4,15849
1603,37,220200,46367,17.4,15849
1604,34,226000,47865,17.4,15849
1605,31.7,244700,36497,17.4,15849
1606,41.9,66411,250700,17.4,15849
1607,36.2,218600,42397,17.4,15849
1608,27.6,168000,21412,17.4,15849
1609,30.5,303100,41647,17.4,15849
1610,27.8,187000,31136,17.4,15849
1611,40.6,227800,64598,14.5,12657
1612,41.2,318000,102614,16.2,11448
1701,45.5,439700,88498,12.8,17601
1702,34.4,358000,52428,12.8,17601
1718,41.1,317800,135179,17.5,12742
1719,43.5,534500,103996,11.9,17286
1720,43.7,562600,119342,17.5,12742
1721,41.7,384800,102721,14.7,13500
1730,43.4,682600,114676,12.2,17892
1731,23,536300,79063,10.2,19136
1740,42.7,581000,144461,14,13998
1741,50,824500,157500,11.2,25552
1742,46.6,893100,132736,13.7,17125
1745,35,439000,117955,12.5,16392
1746,42.2,437500,108350,13.2,13710
1747,44.4,324800,99886,14.4,12050
1748,40.8,577500,128267,14.2,13400
1749,43.7,366400,74082,12.4,19301
1752,39.5,373600,71424,12.9,16644
1754,43.6,381500,79252,13.6,15525
1756,44.8,434400,112104,14.8,14113
1757,39.7,339500,68784,13.4,13493
1760,40.4,584900,99172,14.7,16134
1770,45,775500,155564,11.5,20938
1772,43.2,675000,155952,12.5,16392
1773,53.7,1094100,143897,10.2,19136
1775,44.1,512200,131500,14,13998
1776,44.1,706900,169505,13.8,13878
1778,44.5,736900,141083,13.5,18584
1801,40,473700,79034,13.4,14785
1803,42.2,596900,95465,12.1,18594
1810,42.3,651900,125321,13.2,15922
1821,40.7,452700,91605,14.2,14957
1824,44.5,441900,103411,14.8,13367
1826,40.1,345900,76879,18,10925
1827,45.5,475500,116125,15,13995
1830,39,317800,55237,14.2,14784
1832,36.8,289100,60351,14.2,14684
1833,46,474200,106898,13.9,11580
1844,39.1,351400,68587,15,16117
1845,39.9,496700,100544,17.4,12355
1850,29.4,265500,51556,14.3,14407
1851,34.3,304900,52031,14.3,14407
1852,36.9,291800,48690,14.3,14407
1854,30,271900,42948,14.3,14407
1860,46.9,403700,80508,13.4,13013
1862,40.6,433000,98305,14.2,14957
1863,44.2,352100,74695,14.8,13367
1864,44.3,519100,112419,13.5,15866
1867,42.5,572500,104472,14,11730
1890,43.3,1065200,141829,13.7,14386
1901,39.7,338200,22614,14.6,13968
1902,33,315200,37786,14.6,13968
1904,38.3,378100,81258,14.6,13968
1905,33.6,341900,47694,14.6,13968
1906,45.7,455700,76141,13.1,14489
1907,44.6,518000,96510,12.8,15478
1908,51.8,651100,65083,14.9,25178
1913,43.5,365100,76463,15,14244
1915,40.9,457300,73980,14.6,14657
1921,45.9,665800,127813,12.9,14688
1922,48.4,511200,111806,13.2,14589
1923,45,459700,77404,13.7,15732
1929,46.3,535600,89185,12.4,16692
1930,49,440500,60229,12.2,16454
1937,46.1,428600,0,13.7,15732
1938,48.8,502600,77901,13.4,13264
1940,45.4,656000,109099,13.5,13824
1944,51.1,885200,89313,12.4,16692
1945,47.8,665700,100709,13.4,17190
1949,43.9,575100,105646,12.5,13230
1951,49.9,564300,90969,13.2,14589
1952,45.5,364700,75995,13.2,14589
1960,44.4,434300,62137,13.8,13016
1966,53.4,571900,70288,12.4,16561
1969,44.3,485500,85994,13.2,14589
1970,36.1,401700,58937,10.2,26947
1982,40.5,565800,108558,12.4,15660
1983,46.3,629000,121157,13.2,14427
1984,24.7,607500,116875,12.4,15660
1985,46.2,577600,122969,13.4,13013
2019,40.6,332000,87417,14.1,13358
2025,44.6,842300,117679,16.4,13726
2026,43.3,514400,85558,12.4,17509
2030,44.7,1067900,176250,12.3,20629
2032,42.9,514300,81513,14.1,13102
2035,42.3,437600,94538,13.1,14862
2038,40,420600,101980,14.2,14157
2043,45.6,794800,103350,15.3,15181
2045,52.8,399300,77440,11.8,17298
2047,65.2,127200,0,13.6,12710
2048,38.4,447000,93082,13.9,13005
2050,45.1,462300,88750,13.7,11722
2052,42.7,653100,143641,13.7,12586
2053,41.2,422200,109841,16.6,13496
2054,45.3,402500,96773,14.5,12327
2056,43.7,514900,143682,13.6,16957
2061,43.3,638600,110671,14,13684
2062,40.6,486200,79963,12.7,14941
