Useless,Price
0,149000
1,397000
2,125000
3,450000
4,405000
5,460000
6,280000
7,472000
8,900000
9,249000
10,800000
11,267500
12,1950000
13,250000
14,397000
15,445000
16,943000
17,800000
18,1131000
19,325000
20,265900
21,1200000
22,452900
23,1285500
24,650000
25,135000
26,315000
27,156000
28,300000
29,142000
30,319000
31,735000
32,412000
33,835000
34,192500
35,143000
36,125000
37,103000
38,2050000
39,90000
40,190000
41,281000
42,399900
43,173000
44,232000
45,312000
46,132000
47,795000
48,287000
49,352500
50,324900
51,232000
52,880000
53,281000
54,215000
55,580000
56,401000
57,487500
58,169000
59,125000
60,249900
61,361500
62,370000
63,300000
64,355000
65,579000
66,75000
67,385000
68,207000
69,92300
70,380000
71,355000
72,492500
73,568900
74,364000
75,115000
76,495000
77,700000
78,131500
79,309000
80,512500
81,250000
82,440000
83,710000
84,1325000
85,375000
86,214900
87,555000
88,335000
89,380000
90,400000
91,255000
92,340000
93,575000
94,324900
95,194500
96,402000
97,732700
98,420000
99,280000
100,90000
101,326000
102,265000
103,92500
104,97500
105,439900
106,583034
107,1800000
108,1275000
109,1200000
110,212500
111,204000
112,250000
113,360000
114,1142000
115,615000
116,310000
117,346500
118,187000
119,410000
120,285000
121,281100
122,332000
123,222000
124,460000
125,73500
126,1200000
127,250000
128,154000
129,235000
130,316000
131,144700
132,122000
133,419800
134,80000
135,110000
136,395000
137,278100
138,765000
139,118000
140,840000
141,319900
142,256000
143,70000
144,197500
145,480000
146,599000
147,388000
148,380000
149,557000
150,537175
151,520000
152,305000
153,360000
154,429900
155,315000
156,220000
157,180000
158,404000
159,349000
160,257500
161,339900
162,1520000
163,1228200
164,700000
165,670000
166,380000
167,529000
168,1585000
169,801000
170,180000
171,265000
172,204000
173,205000
174,890000
175,345000
176,480000
177,94000
178,435000
179,575000
180,492500
181,626000
182,240000
183,260000
184,150000
185,315000
186,720000
187,300000
188,427500
189,255000
190,247500
191,630000
192,200000
193,345000
194,450000
195,345000
196,440000
197,203000
198,520000
199,525000
200,352000
201,225000
202,400000
203,280000
204,109900
205,450000
206,1018000
207,239530
208,650000
209,846500
210,412400
211,160000
212,565000
213,176500
